state_fips,county_fips,bus.bank,bank,time,adopt,NAME.x,pop,NAME.y,unemployment,bank.rate,bus.bank.rate
26,26063,3,69,1,16,"Huron County, Michigan",31407,"Huron County, Michigan",5.056609015767174,2.196962460597956,0.09552010698251982
26,26069,1,44,1,16,"Iosco County, Michigan",25237,"Iosco County, Michigan",7.444366829657719,1.74347188651583,0.039624361057177954
26,26073,1,103,1,16,"Isabella County, Michigan",64394,"Isabella County, Michigan",7.275074151378666,1.5995279063266763,0.015529397148802682
26,26075,4,431,1,16,"Jackson County, Michigan",160366,"Jackson County, Michigan",6.284419847535336,2.6876021101729792,0.024942943017846674
26,26077,0,1,1,16,"Kalamazoo County, Michigan",261670,"Kalamazoo County, Michigan",6.231856284025013,0.0038216073680590055,0
26,26087,7,249,1,16,"Lapeer County, Michigan",88619,"Lapeer County, Michigan",5.880833274618944,2.809781198162922,0.07898983288008216
26,26091,7,251,1,16,"Lenawee County, Michigan",99423,"Lenawee County, Michigan",4.838503766117707,2.524566750148356,0.0704062440280418
26,26093,11,333,1,16,"Livingston County, Michigan",193866,"Livingston County, Michigan",3.8488101345751606,1.7176812850112964,0.05674022262800078
26,26099,45,3266,1,16,"Macomb County, Michigan",881217,"Macomb County, Michigan",5.585768314393771,3.7062380775677273,0.05106574203629753
26,26101,0,1,1,16,"Manistee County, Michigan",25032,"Manistee County, Michigan",7.296055151283033,0.039948865452221156,0
26,26111,1,212,1,16,"Midland County, Michigan",83494,"Midland County, Michigan",4.472987155779899,2.539104606319017,0.011976908520372722
26,26115,5,377,1,16,"Monroe County, Michigan",154809,"Monroe County, Michigan",4.954200329649544,2.4352589319742393,0.032297863819286995
26,26119,1,15,1,16,"Montmorency County, Michigan",9153,"Montmorency County, Michigan",7.161496085821978,1.6388069485414618,0.10925379656943078
26,26125,109,3425,1,16,"Oakland County, Michigan",1274395,"Oakland County, Michigan",4.659781959708985,2.687549778522358,0.08553078127268234
